date,rating,title,pros,cons,advice,reviewer,url
2019-09-20,5,Best place in Barcelona,"Been working at Typeform for the last 3 years and have to say I enjoyed almost every single day coming to the office.

Apart from very thoughtful perks, like free organic lunches, gym membership, unlimited holidays, coffee and beer for free at Barception, and more... the culture is very healthy, honest and work focused. It is true that we are now on a journey for results, but it's an understandable transition while the company grows.

Also, empathy around employees is very high. If you have a problem, need help with anything, most people are happy to jump in to help however they can.

Work itself can be challenging, new things come up and also as any startup, you can ""build your own adventure"" and try to propose new initiatives, as long as you own them.","The downsides of working here would be the same as any startup. Lack of direction, you can feel a bit lost sometimes, and your recent work might go to the trash since strategies can change overnight.

I understand sometimes it's not the nicest thing, but it's what I signed up for, so no complains.","A bit more of career path thinking would not hurt.
And bold decision making to see things moving faster would be great.",Project Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29355746.htm
2019-09-19,1,Avoid at any cost!!!,"Up to 6 months ago, the best people you ever worked with.  Amazing vibes. Great office and perks. All gone now. Destroyed by terrible leadership.","The new CEO is a sociopath. Sacked anyone who ever disagreed with him. Then replaced them with a bunch of mediocres who agree to anything he says and feed his insatiable ego. Most were appointed with no previous process.
Lots of people being fired for no apparent reason other than speaking their mind. Everyone lives in fear. No progress whatsoever in over one year since the changes in leadership.",You managed to take over the best company in town and turn it into the worst. You should be proud.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29333592.htm
2019-09-18,3,It's losing everything that was amazing about it,"Cool product, smart people, great office and perks, up to date tech stack.","In mid 2018 everything started to fall apart slowly, but then increasingly fast in 2019. Founders were replaced, every C level left, almost all managers are gone now. This is now a company in which the best people are at the bottom of the organization, and no one from leadership seems to notice or care.",None,Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29306525.htm
2019-09-18,4,Finally on a success track!,"Although typeform undergoes some changes, I do not agree with the negative ratings of my colleagues. I've worked for several startups in the past years and can say that typeform is not only a great place to work at but also an amazing opportunity for those who want to learn and grow. I think my experience in the startup world gives me a view on the status quo that is unbiased and based on facts and experience rather than personal opinions that are often stated as the truth. Yes, the company undergoes changes, changes that were urgently needed for the business in order to grow. Some of my colleagues look for an environment where you can hang out and chill. At the same time, they complain that nothing was moving in the past. Well, maybe you are part of the problem? Ever thought about that? Our C-level, that I work with regularly in person is actually truly outstanding - at least to me. They are skilled, fun and good people too - which is not always a given. I would want to know how many of the negative ratings have actually spoken to them to make up their opinion. Last but not least, I do not agree with the constant firing rumor. For me, any person that was let go so far was for a good reason. Either they were not skilled enough or they were looking for an environment where achievement and winning together was not on the top list of priorities - at least that is what I can observe from the outside as I have not worked close to all of them. I think it is not only the job of a Manager to take care of these things but also necessary to help others grow, especially when colleagues have a negative impact on teams or the company. I would be scared if my manager would not make a call in these cases. From colleagues to colleagues, to those who state their personal opinion based on rumors from angry people: Please leave the company as soon as possible. You are clearly not getting it and your personal opinion is not the truth.","The company currently undergoes changes that make it more challenging to achieve things, especially when you work with teams that lack skills and knowledge. I know that the company is working hard to bring in the right people and to upskill the others but it still causes some hiccups on the day2day.",Just keep on rolling! We have your back!,Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29294821.htm
2019-09-08,2,Hoping Typeform can turn it around,"Lovely people to work with and you'll learn a lot although, more recently, you learn less from good examples and more from mistakes. Good lunches, Barception and the offices are nice. 

Flexible working is great and I was able to get any software, trainings or tech that I asked for.","A lot of people have given up on giving feedback as it can feel that, at best, it will be ignored and, at worst, it will be held against you and used as evidence that you are not a cultural fit etc. When people stop giving their opinions they are then criticised for not contributing and, when you care about the company and your colleagues, this is a very tiring cycle to watch and be a part of.

The move towards a more corporate and ruthless approach wasn't for me.  Typeform always used to treat people with respect and empathy but, after a pretty big backlash against what seemed like a never-ending stream of firings, a new set of values were eventually introduced with empathy as one of the focus points. The firings didn't seem to slow down for very long and it felt like Typeform had to try and put a process in place for something that had been a key part of its culture not long previously.
One positive thing gained from this was the number of synonyms for firing I learned but, in the end, it just got too distracting and demoralising wondering who was going to be the next one to 'reach an agreement' and trying to make sense of it, and I stopped enjoying my work.
Worst of all, after speaking to a number of these ex-employees it became clear that we weren't being told the truth by the Leadership Team which made me generally distrustful of what I was being told by management.","I understand it's just business but it feels like you're trying to hold onto something that isn't actually important to you, the company culture. The new values weren't necessary as we used to have values that the whole company embodied and believed in. Why this breakdown wasn't addressed earlier in the process, when feedback was being given, seems strange to me.

Consider the possibility that some of you, or your managers, might not be doing a good job. If a number of people from one team are fired or leave in a short period of time then perhaps the issue is hiring the wrong people, creating a difficult working atmosphere or an inability to manage different personality types. At what point are you willing to consider a manager failing in their role as it seems it's always someone else's fault, usually the non-manager.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29096080.htm
2019-09-04,5,"Great culture, talented co-workers","It is a great place to stay. The best thing at Typeform is its culture. Benefits/perks are great, the product is good and co-workers talented.

I joined a few months ago and I am seeing changes in a very good direction in terms of leadership. C level is almost completely new, but they are open, transparent and experienced.",The way the company is using OKR has to be improved.,None,Product Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW29031498.htm
2019-09-02,1,The trends speak for themselves,The people still left are really great and talented.,"- New CEO =&gt; completely new leadership team =&gt; tons of avoidable big mistakes =&gt; A LOT of people left and leaving =&gt; understaffing =&gt; lowering hiring quality bar

- Same old story: Let's try OKRs! Oh but we need to do this other thing not part of the objectives, it's very urgent, you need to drop everything and do this! Hey, how come you didn't hit your objectives? Well, let's define better objectives next quarter!","Typeform had a beautiful culture of good engineering, don't destroy it with random deadlines. You made it seem like you cared about people and company culture in our last crisis, it looks like everything is out the window again, please listen to employees.",Senior Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28983204.htm
2019-08-25,2,Hard to say,"As most reviews pointed out already

- The perks are among the best you could find in Barcelona. 
- The product and the offices 
- The people you work with is quite good in Engineering, so many talented and skilled colleagues
- Some people really want to make the company successful","- The amount of changes in management recently that come from nowhere is huge, and its getting worse every month
- All C levels have been replaced by friends-of-friends of other C levels, with little to no diversity 
- Some of the C level employees lack skills like communication and emotional intelligence
- In the last months there have been direct hires with no process, which at some point could be ok, but some of those hires have caused entire departments to vanish or disappear, mostly because the lack of cultural fit in them, causing former employees with 2 years of experience, valuable employes to the company, to leave
- One of those hires took more than a month for HR to act, even when lots of people were already complaining and saying that this specific person was not suitable or beneficial for the company. It took so much time for them to react that few people left the company in that time because working was unbearable
- While right now the perks look amazing, its clear that this is not going to be last for long
- Sending emails at 10 pm on the weekends, sometimes asking for you to work on something, has become more and more common
- There are no almost no managers left, and the ones they are still around lack enough skills ( or better said, up to date skills ) to do their job properly
- The whole company relies on something called OKRs, which are supposed to be objectives to aim for. You spend a month definining them, doing meetings and presentations just for the company to pop out a project out of nowhere that renders all that time spent useless
- Some projects are being defined and estimated by people that doesnt have enough domain knowledge on the product, to the point of missing important features and setting up dates that are not realistic without compromising quality on what you deliver 
- Theres flexible working and unlimited holidays. Some people is not making enough use of those, but others are abusing too much of it, to the point of being months or weeks completely away 
- Engineering lacks leadership and lacks communication between the teams that are working in different features
- You might have a team of 7-8 people for a project with low priority while you have 2-3 engineers for working with legacy and infrastructural stuff that is core to the platform
- Instead of helping those small teams to get more resources the new hires go directly to new teams with new projects
- Once an engineering project is done, the team gets disbanded and the ownership is lost
- No career framework
- Almost all HR has changed, to the point that only a few are keeping up to date with what they do and they can´t handle everything
- Theres no help on where you want to go as an engineer
- Too many useless meetings. We have spent more time on assemblies and ""clarity"" meetings lately than anything else. The processes are so shady and everything is so gossipy that everytime someone leaves we have to do a company wide meeting to explain what happened
- Lack of clarity on processes
- The few managers left and the C levels are not listening or seeing through their employees, when they act is too late
- Theres a huge gap between old people in the company and new hires
- The culture of the company is heading towards working more hours in the office, which doesnt mean being more efficient
- People is afraid of speaking up, it went from open up forums to noone saying anything because of fear","- Listen to your employees, they are the ones who built the company and some of them have been there for more than 3 years, not just a few months. They understand more than you what was Typeform, they have more knowledge, context and wisdom than people who recently joined and you listen more to them just because their salary is higher
- Stop the OKRs, they are completely useless when you dont follow or believe in them
- Get some trainings either in public speaking or management
- If your idea of working at Typeform involves working on weekends or nights, be clear about it and set some expectations
- The best way of shutting down rumors or gossiping is being clear on what you do, not sending an email that generates even more rumors or calling for an assembly where you cant speak openly without fear

As of now, the main danger for Typeform is not their competitors, is its management. It seems you are working really, really hard on making the company fail. Maybe you are not aware of but every week you loose someone with knowledge on something that noone else does. Every week the processes get worse, the quality of what we ship gets worse. Theres going to be a point of no return where the product will reach an state that recovering from it will be nearly impossible",Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28831909.htm
2019-08-22,2,Think twice,"Salaries are good and the perks (gym membership, healthy food, drinks, coffee, private health insurance, unlimited vacation, flexible work, language courses, learning &amp; development allowance) are fantastic. There are a lot of nice people willing to help each other and some teams have a good environment where you can have fun, collaborate and and learn while working.","1) We currently have a culture of fear, which means anyone can be fired on the spot for no reason. This has happened several times. One person got fired when a new hire took his position, only 10 days after being assured that this wouldn't happen. Another one got fired even though the entire team worked well with him and he proved to be one of the most efficient and innovative team members, bringing a lot of value and building bridges with other teams. Another one got fired because the newly hired boss didn't like him and the fact that the rest of the team did and valued his contributions didn't matter. Another one got fired leaving a team with only 1 person doing the job of 4. And so on, and so on. 

2) Managers seem to be untouchable and can get away with anything. For example, they can lie to their employees' faces or prevent people from being promoted, making up rules that don't exist. They tend to be arrogant people with inflated egos who disregard any opinion coming from anyone at a more junior position. They favor employees they get on well with while bullying the ones they personally dislike.

3) HR managed to make everyone in the team leave, so it's now composed of people who have been in the company not longer than 6-8 months. They consistently encourage employees to talk to them if they have any problem and promise to help. The reality is that they don't do anything to help because they don't acknowledge that in some cases, the problems are directly caused by the managers. On some occasions they have breached the confidentiality of those meetings.

4) The members of the Leadership Team have neither people nor public speaking skills so Company meetings have become an unbearable ordeal where they either bore everyone or angrily explain data/decisions made.

5) There is no clear direction and Company values and goals seem to change every few months.","- Be more humble, listen to the people, acknowledge their concerns and get involved in helping overcome them. You have excellent professionals working for you and you'll lose them all if you don't change your attitude.

- Either get trained in public speaking or hire a professional speaker to present at meetings. Also, please don't go overtime in meetings and please, please stop telling us about your fantastic life experiences if they're not relevant to the company's present and future.

- Be transparent and work towards restoring trust.",Anonymous,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28789181.htm
2019-08-21,5,It's really not that bad at Typeform! :),"I felt the need to write this review as there are quite a few really negative reviews on Glassdoor that do not represent the real picture of how things are at Typeform. 

I've been at Typeform for almost a year and can see very clearly the good things this company has to offer. I've worked in many different companies before and I can tell you that what Typeformers get is unheard of in most companies in Barcelona. The flexibility, unlimited holidays, amazing organic lunch served for free every day, barception when you're served amazing coffee at any time,  initiatives that help people grow and learn, transparency from the top-level team.

Typeform is going through a change. Yes, the entire leadership team changed. Yes, this company's has evolved and is evolving and it's no longer a merry-go-round that it used to be. Yes, this company has new values and the culture is changing. So what? All companies change at some point or another. This is the nature of any business. People go and are being let go and that's something that happens in every single company. Let's not forget how good we have it here and how many new people join Typeform, the talents they have and what they bring to the table. What I see when I come to work every day is not the drama and negativity, rather than people pushing their best, going an extra mile, caring for the team and building a great product, working hard, having fun, trying to deliver the best they can.","I would say the cons is the negativity that can drag the teams down right now, lack of trust in the leadership team and the mindset that it's all bad. It is not! 

High workload which means the work-life balance can suffer.","Keep being open, fair and transparent. Give some time for the new values to settle.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28753629.htm
2019-08-14,2,Complete lack of direction and bad work culture,"Great co-workers, smart and nice people. Barception. Lunch.","Really disappointed with the lack of preofiesionalism from the leadership team and founders. Lack of recognition to hard work, bad feedback and performance assestments (actually, inexistent). The new people coming to leadership (including the CEO) value more that you agree with them than actually having ideas and that you are doing your job well. The paths to professional growth are completely broken, so if you care about your career and growth, this is not the place. Really shady moves to let people go or firing them.","Listen to employees, prepare them and set the for success as professionals and you'll have a successful company. It's not the other way round.",Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28623409.htm
2019-08-10,2,Seemed different from the outside,"Great people overall, many professionals and many of them very dedicated. 
The offices are spacious and modern.
There’s catered lunch every day and a great selection of coffee and drinks, both always include vegan options.
Flexible hours.","Management changed end 2018. Since then it’s been downhill. Not sure what’s going on but it’s bad. After the new CEO, CPO, CTO and a bunch of other C’s joined, there has been a continued talent escape and people are “disappearing” from one day to the next without obvious reasons. I mean, one could be understandable but there are so many disappearances lately.

Morale has turned around 180 degrees. From a company that used to be transparent, it has turned into a company where you can’t even trust HR or Management. 

With less knowledgeable people and more juniors joining in, teams struggle.

The objectives seem to be ever changing and there isn’t clarity on which direction to follow. 

Promoted people don’t make sense while new hires seem to be hired without even following hiring processes. 
There is also little to none diversity within the new hires.

The offices are not suitable to work.
Meeting rooms are saunas and some areas of work feel like fridges.
Most workspaces are super dark to be working for hours and there aren’t any adjustable desks.
Company doesn’t seem to be willing to spend any money on this, yet they invest a lot on other stupid stuff (e.g. socks, weird workshops)","Some truth as to what’s going on, would be nice.
If you promote new #values, you should be living up to them firstly.
We aren’t buying it anymore. Half of the company is looking to get out of there asap and you don’t seem to care.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28550515.htm
2019-07-27,5,Great company with a ton of opportunities and the most loved product in B2B SaaS,"- Lots talented people across the company, especially in engineering, design, marketing and data science
- Highly dedicated colleagues working hard to get Typeform to the next level
- People are very friendly
- One of the most loved and lovable products in the B2B SaaS space
- Innovation is picking up pace with a good pipeline of new products/features to bring to market
- strong customer focus
- strong leadership team with desire to do what's right for the company, not what's easy
- much clearer focus, goals and strategy than previously
- good cross-functional working relationships among the various teams
- tons of perks, beautiful office, catered lunches everyday and great events!","- lots of change (which is to be expected for a company at this stage)
- still tuning the goal setting process (OKRs) but it's getting better
- more investment needed to scale up product development (more designers, developers, PMs) in order to meet the company goals over next 5 years",Keep the teams focused and reiterate the focus regularly. Keep making decisions and ensure the company moves forward as a single unit. Keep encouraging Typeformers to think big and challenge one another to improve in both the product and their processes.,Product Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW28278966.htm
2019-06-06,4,Very fun but at times frustrating,"The people: talented, humble, fun and caring (for the most part). 

The environment: great city, culture, offices and perks (coffee, lunch, beer, events, flexible hours, unlimited holidays &lt;3). 

The product: loved by the customers, flexible enough to improve/extend and still growing in usage and popularity.","The management: hard work goes unrecognised, also doing next to no work seems acceptable at times, general lack of awareness from leadership and management.

The opportunities: decision making is not really a team consensus, constant hiring of seniors means it's hard to progress, pushing through your own ideas is tough.","For a software company, I think there is way too few software development teams - focus on hiring designers/developers before other roles to help balance the ratio. 

Implement a solid assessment system and take actions on good/bad results (why did we stop the 360 reviews?!).

Try to unite the two offices and improve on the remote culture.

Good luck!",Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW26516203.htm
2019-05-12,2,Company is changing for bad in some key aspects,"- Work flexibility, great perks and very competitive salary for a Barcelona based company.
- Good product with many opportunities to make it grow.
- There is still some talented and hard working people, specially in engineering.
- Modern tech stack and overall good delivery practices.
- Depending on the team, great continuous improvement culture.
- Senior leaders with deep business knowledge and results oriented.
- Clear direction.","TL;DR Culture used to have cool things, enabling experimentation and professional growth. Now all the leaders have changed, and there is a more top-down approach. This allows less space for ideas and growth and makes Typeform a less appealing company to work for. Still good, but going downhill in some critical aspects.


Since its start, Typeform had always suffered from a lack of good senior leadership. The model was far from perfect and caused unnecessary friction, pain, and many inefficiencies. Yet these leaders gave enough space for people to work free and grow. IMO they got a solid foundation; they encouraged people to do great work and results followed. Unfortunately, that is not enough for a company at the scale of Typeform.

With its rapid growth, problems became bigger and bigger. No alignment between departments and an unclear working in direction led to political games. There weren't clear expectations from and for many roles neither a clear understanding of how promotions worked. Add to this a death start project (i.e., builder v2) and the results were way below expected. Another unpleasant effect was an increase in attrition. It was clear that Typeform needed changes.

Last year those changes started to happen. First, the CTO got replaced. Then the co-CEOs(original founders) and after them COO(now CEO), CPO and CFO. Of course, this caused many changes in heads of departments as well. Now the last change is a new CTO. Yes two CTO changes in less than a year. The last one without an interview process and with by far the weakest background.

All these changes have changed Typeform quite a lot. Some of the changes are good and long waited for. Like more data-informed decision taking or more practical approach to product design. But others are counterproductive.

Now decisions are more top-down. Many people don't feel safe or encouraged enough to challenge upper management with concerns and alternatives. The main reason for this is because leaders are not listening to people and imposing their ideas. This undermines and underutilises people value and will cause even more significant employee turnover.

For example, many people in engineering are worried about many of the changes the CTO is proposing. Their biggest fears are on their impact in collaboration and global team performance. They also have concerns about the adverse effects on quality. He already comes with solutions. Doesn't ask for context and is not open to alternatives neither challenges to his ideas. The worst is that most of his answers are against modern engineering practices.

Very far from what many of us thought was Typeform's potential.","Find ways to listen more to people, so there are more inputs when in your decisions. It will also help to incorporate (better)changes more effectively and with less friction leading to better results.",Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW26099481.htm
2019-04-30,1,Better times,"Barception, nice office, great food.","(Former) Co-CEOs struggled to lead resulting in chaos. Unfortunately, the more experienced leaders who helped create some clarity and direction have all left Typeform.",Hopefully the new CEO can rebuild the company.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25910000.htm
2019-04-13,3,Very average place,"Some very talented people I worked with; however, they had all tough job to be appreciated, the leadership and the management have absolutely no idea about the customer-centered design and product design whatsoever.

Some good ideas coming from the teams but that would be it, none of the innovation approaches worked, CEOs being clueless about the product design, lack of vision and the strategy.

Have had a pleasure to be managed by a very talented designer and a woman but the toxicity of the teams injected by the very unhealthy culture and lack of support for the real talent.","The lack of clear direction where the product is headed.

A non-supportive environment for the user-centered design and lack of understanding basics of the product design.

Underestimating the knowledge coming from the other teams about the customer and fear of failure and innovation.",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25665237.htm
2019-04-13,3,It's a pretty great place to work,"There's a nice vibe in general, people are great. The office is modern and bright and we get some cool perks - working from home, flexi-time and we have our own barcerption.","- Unpredictable, reactive, overly-emotional middle young management. 
- Plenty of changes of direction without communication, employees need to be masterful at second-guessing management decisions. 
- Regular promotion of the wrong people into the wrong roles for the wrong reasons. 
- High turnover of staff.",Value your employees and invest on them. Learn their strengths and weaknesses. Some of us were great but left because of the bad wages and better opportunities elsewhere. Give employees a better reason to stay on for more than a year. Choose better your middle managers and preferably bring managers with experience if you really want to grow.,Marketing,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25658691.htm
2019-04-06,1,Can't Recommend,"- many intelligent and hard working people overall
- the product is good and there is plenty of work to do to grow it","-  leadership dysfunction is high, no improvement in the last year (seems opposite)
-  surprising lack of professionalism, especially with co-founders
-  low morale, high confusion and stress, even for a startup making changes its extreme
- middle and senior management seems overwhelmed and set up to fail
- Individual contributors who don't make a fuss and do good work are overlooked while those who are entitled and loud (even if incompetent) are rewarded
- otherwise unacceptable work behavior is common and accepted",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25546547.htm
2019-04-01,5,Great overall experience.,"Beautiful premises, really good work atmosphere, charismatic and hardworking Co-Founders, an organization where one can grow and bring out the best.","Still a start-up, a lot to figure out but slowly getting there. The majority of employees are young and it´s their first work opportunity, so work sometimes feels like a University campus where individuals are given too much freedom, but not enough responsibility.","Structure your People Operations team better, set an example with high performing individuals who have knowledge of the local labor laws. Give people career paths, support them in getting more responsibility, stretch people to their full potential.","Director, Facilities Management",https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25443904.htm
2019-03-17,1,Sinking ship,Barception is good and that’s probably it sorry,"Leadership has no clue what it is doing and is completely disconnected from its struggling and unqualified staff. 

The office is falling apart and needs a complete refit

Most senior or experienced staff have left or been fired in poorly managed/non-transparent culls. 

Pay isn’t great and those who have any experience are taken advantage of while everyone else thinks they are experienced and enjoys the lunches, coffee and front row seats to leadership chaos

No one to learn from 

Yes I am leaving","Get the co founders out the building - they are clueless. Get a decent CEO who is experienced, doesn’t talk for the sake of hearing his own nonsense and can relate to the staff. Best piece of advice may simply be to cut your losses",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW25204278.htm
2019-01-04,4,Great company - great product - great culture,"Best of typeform, are the typeformers. Talented motivated people improving an awesome product","Slow pace, and final call sometimes are hard to understand by the individual contributors. Detachment between leadership and workers.","Focus, and trust more you individual contributors rather than your middle managers.",Data Scientist,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW24051189.htm
2018-09-25,4,Great place to work,"Lot's of freedom, great culture and awesome people working there",Strategy has been a little all over the place. Currently getting better though with a new vision and mission.,None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW22645719.htm
2018-05-15,5,Collaborate to thrive,"How many companies have values that are more than just some words on a website?  I have no idea, but what I do know is that at Typeform people really help and care for each other. 

How many companies advertise flexible working hours and then you get frowned upon for taking a longer lunch break or working 3 days in a row from home? At Typeform trust is everything. I've never felt as free to make my own schedule before.

How many companies encourage feedback? At Typeform I learned how to give feedback so that it's useful for the person who received it, without hurting their feelings. 

These are only 3 things that make Typeform the best place I've ever worked till now.","I can't think of anything right now. The organization is growing fast, so keeping all the good stuff in place might become a challenge.",None,Customer Outcomes Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW20587312.htm
2018-05-10,5,Project Manager,"Work - Life balance. So difficult to find a company that really cares for its employees and gives so much flexibility. As long as work gets done, you are free to work from wherever.","Startup issues, sometimes lack of focus, but this is being solved in many ways and the entrepreneurial spirit of many employees makes of this a great opportunity to grow within the company.",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW20534440.htm
2018-05-10,5,Barceptionist,"people enjoy the day by day at the office, the vibe is always very good",sometimes I feel people are a bit lost or confused,None,Barception,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW20518688.htm
2018-04-11,4,Great Company with Great People,Amazing design centric company with warm people who are building a top SASS product in a competitive space. Lot's of exciting career growth opportunities.,"Priorities for individual employees are not always clear, not that many perks, yet..",More mentorship and guidance can go a long way.,Business Development Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW20118202.htm
2018-02-13,5,Amazing place to work,Environment focused on the people,Not really cons in Typeform,None,Testing Intern,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW19219948.htm
2018-01-04,5,Great place to work and develop yourself,"After 2 years I'm still learning and finding enough challenges to keep me motivated, in fact, my job evolved twice in two years. 
Nice people to collaborate with. Awesome perks and offices.","Fast-paced work that includes changes and new proposals very often. If you enjoy learning, facing new challenges and also have the curiosity to improve things it's your place. If you prefer more established and standard work environment it might be less enjoyable.",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW18576525.htm
2017-12-20,5,"Awesome, challenging and human","I had the opportunity to be part of an exceptional data science team for 6 months at Typeform. Data team members have amazing technical and soft skills, I learnt a lot and happy to come back to work with them after graduation. 
The company culture is amazing, every single employee is super helpful and nice. Problems are challenging on a good way. Working here is also a lot of fun, many nice optional social events, really nice perks and super nice coffee by our own baristas.","Sometimes too many meetings, rapidly growing company",Try to keep up this amazing culture while growing,Data Scientist,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW18425282.htm
2017-10-23,4,"Awesome offices, great people ... non coherent company","Great place to work with awesome office and perks. 
Friendly environment, very open with a lot of freedom to try and learn.
The culture is people oriented and quite agile.
You have a lot of autonomy.
Very successful and interesting product.
New and trendy methodologies.
If you love the company and don't find issues everything is great.","Company growing very very fast, learning how to keep their culture.
Not everybody aligned with the company culture.
Some kind of cool, hipster, trend environment, few pragmatism.
No clear decision making process and responsibility from teams/people.
Paternalism, protecting the people more screaming and giving them what they want although goes against teams or other people.
People oriented culture but a lot of times acting against this principle.
If you disagree or see things to change is difficult to find supports and sometimes also your age going to be left alone.
No clear career path, sometimes impossible to change role or move to an other team","Please align the management, not everybody is aligned with the company culture.
Start taking actions against not acceptable behaviors like set before personal needs against team or company needs.
Don't throw the problems to the people, some time management has to align people and act instead of avoid problems and hide it.
Start thinking and understanding the company issues, not everything what is happening is not for personal situations, there are also part of company issues affecting people decisions.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW17501604.htm
2017-05-09,5,Great place to work,Amazing familial culture with a completely unique trust in the employees. When challenges arise as the company scales Typeform takes a proactive approach to tackling these problems head on.,Relatively 'green' group of employees. They put a lot of confidence in people growing into roles which is empowering but sometimes they could benefit from more experienced professionals helping to guide the company's growth.,None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW14979815.htm
2017-05-01,5,Typeform is an incredible place to work!,"Amazing culture, smart, humble and international environment. Located in an incredible city with a great work-life balance, company stays true to its values and emphasises quality over speed which is rare in most companies. Cross-functional teams allow people to work together. Founded by creative minds, so great for people who value vision over structure.","Start-up environment, so you have to be able to handle unfinished projects, uncertainty and adaptability. Suited for those who fit in and understand the culture, but if you like structure, hierarchal management systems and certainty  you may not enjoy the working environment.","The culture, brand and vision is the best part of this company- although the product is great too, it's everything that goes with it that makes Typeform so great! Keep doing what you're doing.",Digital Marketing Intern,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW14866350.htm
2017-04-27,5,Best place to work for in Barcelona,"Great culture, great product and lots of opportunities to grow!","Sometimes a bit chaotic, not surprising for a startup","Keep focusing on culture, it is your strongest asset!",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW14810113.htm
2017-04-02,5,One of the bests companies in Barcelona,"Amazing culture, international atmosphere and amazing colleagues.","It grew a lot the last year, some gears are still being adjusted, but so far management it´s solving most of the problems.","Focus a lot on the culture, keep it as it is without forcing it. Sometimes there is a little bit of micromanagement, try to empower more the workers.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW14455449.htm
2017-03-19,5,Great place to work at!,"The opportunity to become part of a united team was amazing. Great support within each other, we always had each other's back. Working as a team was wonderful and there was lots os space for bringing in your own ideas.",None really... Maybe sometimes communication was a bit complicated with other teams but we were working on getting it improved.,None,Account Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW14246448.htm
2017-01-25,5,"A great place to work, amazing people","Great people and culture. International environment and open - minded attitude, autonomy, agile and good relationship both in professional, and even personal sense. 

Most of the managers are good in giving us space to be autonomous and not micro-manage or control. They are also starting to work on career development more. 

A lot of people relocated to Barcelona for Typeform, so we formed a great community
y of expats (and locals of course) learning and progressing as well as enjoying activities after work together. We have a lot of different hobbies and activities that anyone can join to get to know people and integrate within the team and the city.","-Last year Typeform grew a lot. It's natural that it's having some challenges with this fast change that is mostly related to communication and effective collaboration. It's hard to know all the people now.

-There is no clear remote work policy, it is in a way OK to work remotely but, in reality, it's not used very much by some teams. More holidays or/ and flexibility would be a good improvement for such an international crowd. 

-Dependent on the role the salary can be quite low, especially if comparing with other startup hubs like Berlin (with similar costs). Some positions are valued more than others and it feels too much sometimes.

-Some managers are new in this role or don't know how to lead in our kind of culture (startup, dynamic, open). This results in some of them wanting to control and micro-manage occasionally as well as failing in communication.","Keep focusing on career development and giving opportunities for people who deserve it, nurture open culture and proactivity, set a clear vision and goals and improve communication. On the other hand, be careful on promotions based on friendships and personal relationships as well as managers who are trying to move the direction to a corporate and rigid environment.",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW13478703.htm
